152,3q1n1k/2pP2b1/8/4p1Pp/PpQ2pbP/8/P1P5/1K1RR3 w - - 5 35
79,3q4/3r1p1k/2p1pbp1/1pPr3p/pP1P1P1P/P1Q1B1P1/3R2K1/3R4 b - - 48 100
-169,8/8/2K1P3/8/8/bk6/4B3/8 b - - 68 166
0,r4rk1/3nppbp/2np2p1/p1p5/2P3b1/P1NP1NP1/1P2PPBP/1RB2RK1 b - - 0 12
-305,3K4/5r2/8/7p/1kb1R2P/2R5/1P6/8 b - - 52 90
88,5rk1/3r2pp/1p3q2/p2P4/4R3/PQ1P2P1/7P/R6K w - - 1 30
-27,r2r2k1/3q2p1/p3Np1p/1p1p3Q/2nP2P1/2R1P3/P4PBP/4R1K1 b - - 0 26
-77,5r2/8/6RK/2pk1p2/p6P/P1P5/1P6/8 b - - 5 43
-656,8/8/8/1kR2p2/3K4/8/8/8 b - - 1 105
346,8/3k4/6p1/7p/5BPP/1q2NK2/8/8 b - - 0 65
